mcc_id,Merchant Category Code (MCC)
1,CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS
2,SHERATON
3,DIRCT MARKETING/DIRCT MARKETERS NOT ELSEWHERE CLASSIFIED
4,GROCERY STORES-AND SUPERMARKETS
5,STATIONERY- OFFICE SUPPLIES- PRINTING AND WRITING PAPER
6,OFFICE- PHOTOGRAPHIC- PHOTOCOPY- AND MICROFILM EQUIPMENT
7,FAST FOOD RESTAURANTS
8,MENS- WOMENS AND CHILDRENS UNIFORMS AND COMMERCIAL CLOTHING
9,TELECOMMUNICATION SERVICES
10,FREEZER AND LOCKER MEAT PROVISIONERS
11,MISCELLANEOUS AND SPECIALTY RETAIL STORES
12,COMMERCIAL EQUIPMENT- NOT ELSEWHERE CLASSIFIED
13,HOME SUPPLY WAREHOUSE STORES
14,GOVERNMENT SERVICES NOT ELSEWHERE CLASSIFIED
15,DENTAL/LABORATORY/MEDICAL/OPHTHALMIC HOSP EQIP AND SUP.
16,HARDWARE STORES
17,HOBBY-TOY-AND GAME STORES
18,WESTIN HOTELS
19,AUTOMOTIVE PARTS AND ACCESSORIES STORES
20,CONSUMER CREDIT REPORTING AGENCIES
21,CHEMICALS AND ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED
22,COMPUTERS- COMPUTER PERIPHERAL EQUIPMENT- SOFTWARE
23,PROFESSIONAL SERVICES NOT ELSEWHERE CLASSIFIED
24,BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED
25,BOOK STORES
26,COURTYARD BY MARRIOTT
27,SCHOOLS AND EDUCATIONAL SERVICES NOT ELSEWHERE CLASSIFIED
28,PET SHOPS-PET FOOD AND SUPPLIES
29,CATALOG MERCHANTS
30,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED
31,AUTOMOTIVE REPAIR SHOPS (NON-DEALER)
32,SPORTING GOODS STORES
33,MEMBERSHIP ORGANIZATIONS NOT ELSEWHERE CLASSIFIED
34,QUICK-COPY AND REPRODUCTION SERVICES
35,COLLEGES-UNIVERSITIES-PROFESSIONAL SCHLS AND JR COLLEGES
36,ELECTRONICS STORES
37,DURABLE GOODS- NOT ELSEWHERE CLASSIFIED
38,COMMERCIAL SPORTS-PRO SPTS CLBS-ATH FLDS-AND SPTS PROMO
39,NON-DURABLE GOODS NOT ELSEWHERE CLASSIFIED
40,RECORD STORES
41,HAMPTON INNS
42,LAUNDRY-CLEANING-AND GARMENT SERVICES
43,EATING PLACES AND RESTAURANTS
44,ADVERTISING SERVICES
45,MISC. AUTOMOTIVE-AIRCRAFT-AND FARM EQUIPMENT DEALERS
46,STATIONERY-OFFICE AND SCHOOL SUPPLY STORES
47,GLASS-PAINT-AND WALLPAPER STORES
48,METAL SERVICE CENTERS AND OFFICES
49,SPECIALTY CLEANING- POLISHING AND SANITATION PREPARATIONS
50,MISCELLANEOUS HOME FURNISHING SPECIALTY STORES
51,DVD/VIDEO TAPE RENTAL STORES
52,TRUCK AND UTILITY TRAILER RENTALS
53,TELECOMMUNICATION EQUIPMENT AND TELEPHONE SALES
54,ELECTRICAL PARTS AND EQUIPMENT
55,CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED
56,EMBASSY SUITES
57,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES
58,EQUIP- TOOL- FURNITURE- AND APPLIANCE RENTAL AND LEASING
59,COMBINATION CATALOG AND RETAIL MERCHANT
60,COSMETIC STORES
61,COURIER SERVICES-AIR AND GROUND-AND FREIGHT FORWARDERS
62,UTILITIES - ELECTRIC-GAS-WATER-SANITARY
63,COMPUTER NETWORK/INFORMATION SERVICES
64,COMPUTER SOFTWARE STORES
65,REAL ESTATE AGENTS AND MANAGERS - RENTALS
66,LODGING HOTELS-MOTELS-AND RESORTS
67,GLASSWARE AND CRYSTAL STORES
68,PAINTS- VARNISHES AND SUPPLIES
69,MISCELLANEOUS PUBLISHING AND PRINTING SERVICES
70,COMMERCIAL FURNITURE
71,TOLLS AND BRIDGE FEES
72,ELECTRICAL AND SMALL APPLIANCE REPAIR SHOPS
73,HARDWARE EQUIPMENT AND SUPPLIES
74,ARTIST SUPPLY AND CRAFT STORES
75,CATERERS
76,CAMERA AND PHOTOGRAPHIC SUPPLY STORES
77,LUMBER AND BUILDING MATERIALS STORES
78,SOUTHWEST AIRLINES
79,AGRICULTURAL COOPERATIVES
80,SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES
81,ROOFING-SIDING-AND SHEET METAL WORK CONTRACTORS
82,WELDING SERVICES
83,COMPUTER MAINTENANCE- REPAIR AND SERVICES NOT ELSEWHERE CLAS
84,CONTINUITY/SUBSCRIPTION MERCHANTS
85,WATCH-CLOCK AND JEWELRY REPAIR SHOPS
86,DRUG STORES AND PHARMACIES
87,HEATING-PLUMBING-AND AIR CONDITIONING CONTRACTORS
88,FAMILY CLOTHING STORES
89,DRAPERY-WINDOW COVERING-AND UPHOLSTERY STORES
90,MUSIC STORES-MUSICAL INSTRUMENTS-PIANOS-AND SHEET MUSIC
91,AIRLINES AND AIR CARRIERS
92,PHOTOGRAPHIC STUDIOS-PORTRAITS
93,DEPARTMENT STORES
94,OMNI INTERNATIONAL
95,MOTOR FREIGHT CARRIERS-AND TRUCKING
96,VETERINARY SERVICES
97,DRUGS- DRUG PROPRIETARIES- AND DRUGGISTS SUNDRIES
98,LANDSCAPING AND HORTICULTURAL SERVICES
99,HOLIDAY INNS
100,MISCELLANEOUS GENERAL MERCHANDISE
101,DRURY INN
102,PUBLIC WAREHOUSING
103,BICYCLE SHOPS-SALES AND SERVICE
104,BUSINESS AND SECRETARIAL SCHOOLS
105,ELECTRICAL CONTRACTORS
106,SPECIAL TRADE CONTRACTORS NOT ELSEWHERE CLASSIFIED
107,SPORTS AND RIDING APPAREL STORES
108,LA QUINTA MOTOR INNS
109,CORRESPONDENCE SCHOOLS
110,MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES
111,NURSERIES-LAWN AND GARDEN SUPPLY STORES
112,COMP PROG-DATA PROCESSING-AND INTEGRATED SYS DES IGN SVCS
113,SPRINGHILL SUITES
114,DELTA
115,PROTEA HOTELS
116,ART DEALERS AND GALLERIES
117,DAYS INNS OF AMERICA
118,AMERICAN AIRLINES
119,MARRIOTT
120,CAMPER-RECREATIONAL AND UTILITY TRAILER DEALERS
121,MISCELLANEOUS FOOD STORES-CONV STRS AND SPECIALTY MKTS.
122,BEST WESTERN
123,COMFORT HOTEL INTERNATIONAL
124,CIVIC-SOCIAL AND FRATERNAL ASSOCIATIONS
125,VARIETY STORES
126,BRITISH AIRWAYS
127,MANAGEMENT-CONSULTING AND PUBLIC RELATIONS SERVICES
128,TOURIST ATTRACTIONS AND EXHIBITS
129,AUTOMOTIVE TIRE STORES
130,MOTORCYCLE DEALERS
131,EXTERMINATING AND DISINFECTING SERVICES
132,ANTIQUE SHOPS
133,RESIDENCE INN
134,SWIMMING POOLS-SALES-SUPPLIES-SERVICES
135,PIECE GOODS- NOTIONS- AND OTHER DRY GOODS
136,GENERAL CONTRACTORS-RESIDENTIAL AND COMMERCIAL
137,AMUSEMENT PRKS-CIRCUSES-CARNIVLS-AND FORTUNE TELLERS
138,CABLE- SATELLITE- AND OTHER PAY TELEVISION AND RADIO SERVICES
139,FAIRFIELD INN
140,BOOKS- PERIODICALS AND NEWSPAPERS
141,TESTING LABORATORIES (NON-MEDICAL)
142,MISCELLANEOUS PERSONAL SERVICES NOT ELSEWHERE CLASSIFIED
143,SEWING-NEEDLEWORK-FABRIC AND PIECE GOODS STORES
144,FUEL DEALERS FUEL OIL-WOOD-COAL-AND LIQ. PETROLEUM
145,MICROTEL INN AND SUITES
146,AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS
147,HOUSEHOLD APPLIANCE STORES
148,NEWS DEALERS AND NEWSSTANDS
149,TRADE AND VOCATIONAL SCHOOLS
150,MEDICAL SERVICES & HEALTH PRACTITIONERS NOT ELSEWHERE CL
151,GIFT-CARD-NOVELTY-AND SOUVENIR STORES
152,PARKING LOTS AND GARAGES
153,FLOOR COVERING-RUG AND CARPET STORES
154,UNITED AIRLINES
155,TRAVEL AGENCIES
156,CROWNE PLAZA HOTELS
157,BANDS-ORCHESTRAS-ENTERTAINERS
158,PETROLEUM AND PETROLEUM PRODUCTS
159,EMPLOYMENT AGENCIES AND TEMPORARY HELP SERVICES
160,MOTION PICTURE AND VIDEO TAPE PRODUCTION AND DISTRIBUTION
161,FURNITURE-HOME FURNISHINGS AND EQUIPMENT STORES
162,ARIA
163,DISCOUNT STORES
164,MISCELLANEOUS APPAREL AND ACCESSORY STORES
165,AUTOMOTIVE TOP AND BODY SHOPS
166,THEATRICAL PRODUCERS (EXCEPT MOTION PICTURES)- TICKET AGNC
167,SHOE STORES
168,AUTOMATED FUEL DISPENSER
169,MEDICAL AND DENTAL LABORATORIES
170,COMMERCIAL PHOTOGRAPHY-ART-AND GRAPHICS
171,RECREATION SERVICES NOT ELSEWHERE CLASSIFIED
172,PRECIOUS STONES AND METALS- WATCHES & JEWELRY
173,HYATT HOTELS/INT'L
174,RADIO-TELEVISION AND STEREO REPAIR SHOPS
175,VIDEO AMUSEMENT GAME SUPPLIES
176,MEN'S AND WOMEN'S CLOTHING STORES
177,WOMEN'S READY-TO-WEAR STORES
178,FLORISTS
179,ORTHOPEDIC GOODS AND PROSTHETIC DEVICES
180,CAR WASHES
181,CAR AND TRUCK DEALERS (NEW AND USED)
182,CLOTHING RENTAL COSTUMES-UNIFORMS-AND FORMAL WEAR
183,MEMBERSHIP CLUBS-(SPORTS-RECREATION-ATHLETIC)
184,SUPER 8 MOTEL
185,HILTON GARDEN INN
186,DRY CLEANERS
187,AUTOMOBILE RENTAL AGENCY
188,AIRTRAN AIRWAYS
189,RELIGIOUS ORGANIZATIONS
190,AMERICAS BEST VALUE INN
191,RAILROADS
192,CANDLEWOOD SUITES
193,CLEANING AND MAINTENANCE-JANITORIAL SERVICES
194,RENAISSANCE HOTELS
195,WYNDHAM HOTELS
196,FLORISTS SUPPLIES- NURSERY STOCK & FLOWERS
197,ARCHITECTURAL-ENGINEERING-AND SURVEYING SERVICES
198,HILTON HOTELS
199,TYPEWRITER STORES-SALES-SERVICE-RENTALS
200,LAUNDRY SERVICES FAMILY AND COMMERCIAL
201,BOWLING ALLEYS
202,TAXICABS AND LIMOUSINES
203,SPORTING AND RECREATIONAL CAMPS
204,CAESAR'S HOTEL AND CASINO
205,HERTZ
206,DETECTIVE AGENCIES-PROTECTIVE AGENCIES-AND SECURITY SERVICES
207,AUTOMOBILE ASSOCIATIONS
208,PHOTOFINISHING LABORATORIES-PHOTO DEVELOPING
209,MGM GRAND HOTEL
210,MOTOR VEHICLE SUPPLIES AND NEW PARTS
211,HEALTH AND BEAUTY SPAS
212,HOWARD JOHNSON
213,WHOLESALE CLUBS
214,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED
215,HOMEWOOD SUITES
216,TOWING SERVICES
217,HEARING AIDS SALES-SERVICE-AND SUPPLIES
218,FAIRMONT HOTELS CORP.
219,RADISSON HOTELS
220,USED MERCHANDISE AND SECONDHAND STORES
221,CONTRACTORS-CONCRETE WORK
222,MASONRY-STONEWORK-TILE SET-PLSTRING-AND INSULATION CONTRCTRS
223,THRIFTY CAR RENTAL
224,DENTISTS AND ORTHODONTISTS
225,ACCOUNTING-AUDITING AND BOOKKEEPING SERVICES
226,ELEMENTARY AND SECONDARY SCHOOLS
227,INFORMATION RETRIEVAL SERVICES
228,LOCAL AND SUBURBAN COMMUTER PASS TRANS- INCLUDING FEE
229,ALAMO RENT-A-CAR
230,DOUBLETREE HOTEL
231,MEN'S AND BOY'S CLOTHING AND ACCESSORY STORES
232,MOTION PICTURE THEATERS
233,USAIRWYS
234,FINANCIAL INSTITUTIONS MERCHANDISE AND SERVICES
235,FRONTIER AIRLINES
236,BAKERIES
237,AIRPORTS-FLYING FIELDS-AND AIRPORT TERMINALS
238,ALASKA AIRLINES INC.
239,CARPET AND UPHOLSTERY CLEANING
240,HOTEL DEL CORONADO
241,RAMADA INNS
242,HOSPITALS
243,BUDGET RENT-A-CAR
244,DISNEY RESORTS
245,INSURANCE-SALES & UNDERWRITING
246,POSTAGE STAMPS
247,EUROP CAR
248,AQUARIUMS-SEAQUARIUMS AND DOLPHINARIUMS
249,BOAT DEALERS
250,TYPESETTING- PLATE MAKING & RELATED SERVICES
251,ENTERPRISE RENT-A-CAR
252,CARPENTRY
253,JEWELRY-WATCH-CLOCK-AND SILVERWARE STORES
254,STAMP AND COIN STORES
255,LOEWS HOTELS
256,TIRE RETREADING AND REPAIR SHOPS
257,PACKAGE STORES BEER-WINE-AND LIQUOR
258,AUTOMOTIVE PAINT SHOPS
259,BUS LINES-CHARTERS-TOUR BUSES
260,CLARION HOTEL
261,WOMEN'S ACCESSORY AND SPECIALTY STORES
262,MANDALAY BAY RESORT
263,VIDEO GAME ARCADES AND ESTABLISHMENTS
264,MOTOR HOME AND RECREATIONAL VEHICLE RENTAL
265,HYATT PLACE
266,CAR AND TRUCK DEALERS (USED ONLY)
267,COUNSELING SERVICES DEBT-MARRIAGE-PERSONAL
268,STAYBRIDGE SUITES
269,LUXOR HOTEL AND CASINO
270,CHATEAU ELAN WINERY AND RESORT
271,OPTICIANS AND DISPENSING
272,DOCTORS AND PHYSICIANS NOT ELSEWHERE CLASSIFIED
273,LUGGAGE AND LEATHER GOODS STORES
274,CHIROPRACTORS
275,SLEEP INN
276,PUBLIC GOLF COURSES
277,INTERCONTINENTAL
278,QUALITY INT'L
279,ECONO-TRAVEL MOTOR HOTEL
280,TAILORS-SEAMSTRESS-MENDING-ALTERATIONS
281,FOUR POINTS HOTELS
282,W HOTELS
283,CANDY-NUT- AND CONFECTIONERY STORES
284,MARINAS-MARINE SERVICE-AND SUPPLIES
285,FIREPLACES-FIREPLACE SCREENS AND ACCESSORIES STORES
286,CHILDREN'S AND INFANT'S WEAR STORES
287,EXTENDED STAY AMERICA
288,BUYING AND SHOPPING SERVICES AND CLUBS
289,GAYLORD OPRYLAND
290,COMMERCIAL FOOTWARE
291,FURNITURE REUPHOLSTERY-REPAIR-AND REFINISHING
